transaction_id,recommended_strategy,digital_twin_utility,digital_twin_probability,digital_twin_expected_recovery,retry_30_utility,retry_6h_utility,payment_link_utility,wait_utility,actual_recovered
TXN_0000087,Retry after 6 hours,4605.31,0.7152,4656.44,4526.43,4605.31,4049.04,4429.63,1
TXN_0000087,Retry after 6 hours,4605.31,0.7152,4656.44,4526.43,4605.31,4049.04,4429.63,1
TXN_0000087,Retry after 6 hours,4605.31,0.7152,4656.44,4526.43,4605.31,4049.04,4429.63,1
TXN_0000087,Retry after 6 hours,4605.31,0.7152,4656.44,4526.43,4605.31,4049.04,4429.63,1
TXN_0000123,Wait,4174.07,0.4628,4220.0,3559.14,3859.3,3813.93,4174.07,1
TXN_0000123,Wait,4174.07,0.4628,4220.0,3559.14,3859.3,3813.93,4174.07,0
TXN_0000123,Wait,4174.07,0.4628,4220.0,3559.14,3859.3,3813.93,4174.07,0
TXN_0000123,Wait,4174.07,0.4628,4220.0,3559.14,3859.3,3813.93,4174.07,1
TXN_0000175,Retry after 6 hours,1080.18,0.5895,1096.43,982.1,1080.18,1019.39,1038.79,1
TXN_0000175,Retry after 6 hours,1080.18,0.5895,1096.43,982.1,1080.18,1019.39,1038.79,1
TXN_0000175,Retry after 6 hours,1080.18,0.5895,1096.43,982.1,1080.18,1019.39,1038.79,0
TXN_0000175,Retry after 6 hours,1080.18,0.5895,1096.43,982.1,1080.18,1019.39,1038.79,1
TXN_0000176,Retry after 30 minutes,2446.81,0.7853,2460.07,2446.81,2433.4,2285.07,2230.87,1
TXN_0000176,Retry after 30 minutes,2446.81,0.7853,2460.07,2446.81,2433.4,2285.07,2230.87,1
TXN_0000176,Retry after 30 minutes,2446.81,0.7853,2460.07,2446.81,2433.4,2285.07,2230.87,1
TXN_0000176,Retry after 30 minutes,2446.81,0.7853,2460.07,2446.81,2433.4,2285.07,2230.87,1
TXN_0000203,Send Payment Link,3761.41,0.6264,3926.42,3319.89,3338.4,3761.41,3299.97,1
TXN_0000203,Send Payment Link,3761.41,0.6264,3926.42,3319.89,3338.4,3761.41,3299.97,0
TXN_0000203,Send Payment Link,3761.41,0.6264,3926.42,3319.89,3338.4,3761.41,3299.97,1
TXN_0000203,Send Payment Link,3761.41,0.6264,3926.42,3319.89,3338.4,3761.41,3299.97,0
TXN_0000204,Retry after 6 hours,4957.95,0.6226,5020.72,4928.63,4957.95,4855.82,4705.75,1
TXN_0000204,Retry after 6 hours,4957.95,0.6226,5020.72,4928.63,4957.95,4855.82,4705.75,1
TXN_0000204,Retry after 6 hours,4957.95,0.6226,5020.72,4928.63,4957.95,4855.82,4705.75,0
TXN_0000204,Retry after 6 hours,4957.95,0.6226,5020.72,4928.63,4957.95,4855.82,4705.75,0
TXN_0000211,Retry after 6 hours,3114.76,0.5889,3157.27,3074.35,3114.76,2882.31,3020.68,1
TXN_0000211,Retry after 6 hours,3114.76,0.5889,3157.27,3074.35,3114.76,2882.31,3020.68,1
TXN_0000211,Retry after 6 hours,3114.76,0.5889,3157.27,3074.35,3114.76,2882.31,3020.68,1
TXN_0000211,Retry after 6 hours,3114.76,0.5889,3157.27,3074.35,3114.76,2882.31,3020.68,1
TXN_0000238,Send Payment Link,2072.78,0.3876,2224.58,1643.15,1766.02,2072.78,1749.53,1
TXN_0000238,Send Payment Link,2072.78,0.3876,2224.58,1643.15,1766.02,2072.78,1749.53,0
TXN_0000238,Send Payment Link,2072.78,0.3876,2224.58,1643.15,1766.02,2072.78,1749.53,1
TXN_0000238,Send Payment Link,2072.78,0.3876,2224.58,1643.15,1766.02,2072.78,1749.53,0
TXN_0000285,Wait,318.92,0.389,323.42,289.14,294.1,304.1,318.92,0
TXN_0000285,Wait,318.92,0.389,323.42,289.14,294.1,304.1,318.92,1
TXN_0000285,Wait,318.92,0.389,323.42,289.14,294.1,304.1,318.92,0
TXN_0000285,Wait,318.92,0.389,323.42,289.14,294.1,304.1,318.92,0
TXN_0000290,Retry after 6 hours,283.77,0.4871,290.54,261.02,283.77,240.52,224.2,1
TXN_0000290,Retry after 6 hours,283.77,0.4871,290.54,261.02,283.77,240.52,224.2,1
TXN_0000290,Retry after 6 hours,283.77,0.4871,290.54,261.02,283.77,240.52,224.2,1
TXN_0000290,Retry after 6 hours,283.77,0.4871,290.54,261.02,283.77,240.52,224.2,0
TXN_0000291,Retry after 6 hours,774.56,0.4201,790.98,722.66,774.56,720.28,732.71,0
TXN_0000291,Retry after 6 hours,774.56,0.4201,790.98,722.66,774.56,720.28,732.71,1
TXN_0000291,Retry after 6 hours,774.56,0.4201,790.98,722.66,774.56,720.28,732.71,0
TXN_0000291,Retry after 6 hours,774.56,0.4201,790.98,722.66,774.56,720.28,732.71,1
TXN_0000299,Wait,669.18,0.3793,678.46,602.87,657.85,574.32,669.18,0
TXN_0000299,Wait,669.18,0.3793,678.46,602.87,657.85,574.32,669.18,1
TXN_0000299,Wait,669.18,0.3793,678.46,602.87,657.85,574.32,669.18,0
TXN_0000299,Wait,669.18,0.3793,678.46,602.87,657.85,574.32,669.18,1
TXN_0000311,Retry after 6 hours,4446.83,0.7112,4496.54,4259.36,4446.83,3950.74,3456.14,1
TXN_0000311,Retry after 6 hours,4446.83,0.7112,4496.54,4259.36,4446.83,3950.74,3456.14,1
TXN_0000311,Retry after 6 hours,4446.83,0.7112,4496.54,4259.36,4446.83,3950.74,3456.14,1
TXN_0000311,Retry after 6 hours,4446.83,0.7112,4496.54,4259.36,4446.83,3950.74,3456.14,0
TXN_0000333,Retry after 30 minutes,4489.07,0.5625,4519.49,4489.07,4415.68,4455.38,4213.97,1
TXN_0000333,Retry after 30 minutes,4489.07,0.5625,4519.49,4489.07,4415.68,4455.38,4213.97,0
TXN_0000333,Retry after 30 minutes,4489.07,0.5625,4519.49,4489.07,4415.68,4455.38,4213.97,1
TXN_0000333,Retry after 30 minutes,4489.07,0.5625,4519.49,4489.07,4415.68,4455.38,4213.97,1
TXN_0000360,Send Payment Link,14098.74,0.6253,14694.5,11882.08,11711.91,14098.74,13849.3,0
TXN_0000360,Send Payment Link,14098.74,0.6253,14694.5,11882.08,11711.91,14098.74,13849.3,0
TXN_0000360,Send Payment Link,14098.74,0.6253,14694.5,11882.08,11711.91,14098.74,13849.3,1
TXN_0000360,Send Payment Link,14098.74,0.6253,14694.5,11882.08,11711.91,14098.74,13849.3,1
TXN_0000364,Wait,5793.75,0.601,5842.69,3971.4,4362.16,4791.23,5793.75,1
TXN_0000364,Wait,5793.75,0.601,5842.69,3971.4,4362.16,4791.23,5793.75,1
TXN_0000364,Wait,5793.75,0.601,5842.69,3971.4,4362.16,4791.23,5793.75,1
TXN_0000364,Wait,5793.75,0.601,5842.69,3971.4,4362.16,4791.23,5793.75,1
TXN_0000391,Wait,937.4,0.7085,944.41,901.02,900.41,847.14,937.4,1
TXN_0000391,Wait,937.4,0.7085,944.41,901.02,900.41,847.14,937.4,1
TXN_0000391,Wait,937.4,0.7085,944.41,901.02,900.41,847.14,937.4,1
TXN_0000391,Wait,937.4,0.7085,944.41,901.02,900.41,847.14,937.4,0
TXN_0000439,Send Payment Link,1261.32,0.4238,1349.2,1199.54,1203.84,1261.32,1117.29,1
TXN_0000439,Send Payment Link,1261.32,0.4238,1349.2,1199.54,1203.84,1261.32,1117.29,0
TXN_0000439,Send Payment Link,1261.32,0.4238,1349.2,1199.54,1203.84,1261.32,1117.29,1
TXN_0000439,Send Payment Link,1261.32,0.4238,1349.2,1199.54,1203.84,1261.32,1117.29,0
TXN_0000445,Send Payment Link,955.66,0.4291,1023.6,806.63,898.73,955.66,808.05,0
TXN_0000445,Send Payment Link,955.66,0.4291,1023.6,806.63,898.73,955.66,808.05,1
TXN_0000445,Send Payment Link,955.66,0.4291,1023.6,806.63,898.73,955.66,808.05,0
TXN_0000445,Send Payment Link,955.66,0.4291,1023.6,806.63,898.73,955.66,808.05,0
TXN_0000509,Retry after 30 minutes,2409.92,0.7204,2424.0,2409.92,2389.54,2314.97,2070.0,1
TXN_0000509,Retry after 30 minutes,2409.92,0.7204,2424.0,2409.92,2389.54,2314.97,2070.0,1
TXN_0000509,Retry after 30 minutes,2409.92,0.7204,2424.0,2409.92,2389.54,2314.97,2070.0,1
TXN_0000509,Retry after 30 minutes,2409.92,0.7204,2424.0,2409.92,2389.54,2314.97,2070.0,1
TXN_0000538,Send Payment Link,6991.49,0.6017,7303.25,6542.25,6059.74,6991.49,6057.97,1
TXN_0000538,Send Payment Link,6991.49,0.6017,7303.25,6542.25,6059.74,6991.49,6057.97,1
TXN_0000538,Send Payment Link,6991.49,0.6017,7303.25,6542.25,6059.74,6991.49,6057.97,0
TXN_0000538,Send Payment Link,6991.49,0.6017,7303.25,6542.25,6059.74,6991.49,6057.97,1
TXN_0000551,Send Payment Link,432.82,0.5744,461.2,308.8,304.47,432.82,327.03,0
TXN_0000551,Send Payment Link,432.82,0.5744,461.2,308.8,304.47,432.82,327.03,0
TXN_0000551,Send Payment Link,432.82,0.5744,461.2,308.8,304.47,432.82,327.03,1
TXN_0000551,Send Payment Link,432.82,0.5744,461.2,308.8,304.47,432.82,327.03,0
TXN_0000621,Retry after 6 hours,354.02,0.4383,362.52,288.53,354.02,329.8,345.61,0
TXN_0000621,Retry after 6 hours,354.02,0.4383,362.52,288.53,354.02,329.8,345.61,1
TXN_0000621,Retry after 6 hours,354.02,0.4383,362.52,288.53,354.02,329.8,345.61,1
TXN_0000621,Retry after 6 hours,354.02,0.4383,362.52,288.53,354.02,329.8,345.61,0
