customer_id,customer_segment,historical_success_rate,average_transaction_amount,previous_transactions,previous_failures
CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,8,2
CUST_00002,MEDIUM_RELIABILITY,0.81,6187.26,36,6
CUST_00003,HIGH_RELIABILITY,0.9,3183.92,99,9
CUST_00004,HIGH_RELIABILITY,0.89,13126.47,99,10
CUST_00005,LOW_RELIABILITY,0.52,5014.89,16,7
CUST_00006,MEDIUM_RELIABILITY,0.65,9714.14,9,3
CUST_00007,HIGH_RELIABILITY,0.97,3972.75,32,0
CUST_00008,HIGH_RELIABILITY,0.9,3567.66,82,8
CUST_00009,HIGH_RELIABILITY,0.91,8346.59,30,2
CUST_00010,MEDIUM_RELIABILITY,0.75,3266.68,94,23
CUST_00011,MEDIUM_RELIABILITY,0.78,1825.19,33,7
CUST_00012,MEDIUM_RELIABILITY,0.71,3980.44,40,11
CUST_00013,LOW_RELIABILITY,0.48,5539.2,5,2
CUST_00014,MEDIUM_RELIABILITY,0.69,5385.23,25,7
CUST_00015,MEDIUM_RELIABILITY,0.78,941.28,48,10
CUST_00016,HIGH_RELIABILITY,0.95,3387.34,32,1
CUST_00017,LOW_RELIABILITY,0.37,6652.42,48,30
CUST_00018,HIGH_RELIABILITY,0.99,12317.56,53,0
CUST_00019,HIGH_RELIABILITY,0.91,2367.41,49,4
CUST_00020,MEDIUM_RELIABILITY,0.8,4681.45,10,1
CUST_00021,MEDIUM_RELIABILITY,0.68,5204.18,73,23
CUST_00022,HIGH_RELIABILITY,0.88,13730.49,53,6
CUST_00023,HIGH_RELIABILITY,0.91,10275.31,42,3
CUST_00024,LOW_RELIABILITY,0.44,3736.46,84,47
CUST_00025,LOW_RELIABILITY,0.51,1457.01,51,24
CUST_00026,MEDIUM_RELIABILITY,0.86,7863.76,95,13
CUST_00027,HIGH_RELIABILITY,0.98,13527.58,89,1
CUST_00028,HIGH_RELIABILITY,0.95,13906.24,42,2
CUST_00029,LOW_RELIABILITY,0.38,1532.68,34,21
CUST_00030,LOW_RELIABILITY,0.36,2412.25,53,33
CUST_00031,HIGH_RELIABILITY,0.92,4798.89,86,6
CUST_00032,LOW_RELIABILITY,0.59,2625.92,25,10
CUST_00033,MEDIUM_RELIABILITY,0.71,5655.61,31,8
CUST_00034,MEDIUM_RELIABILITY,0.68,8120.87,94,30
CUST_00035,LOW_RELIABILITY,0.37,6910.83,87,54
CUST_00036,HIGH_RELIABILITY,0.96,3782.02,86,3
CUST_00037,HIGH_RELIABILITY,0.88,12416.46,98,11
CUST_00038,HIGH_RELIABILITY,0.96,11206.1,64,2
