transaction_id,customer_id,customer_segment,historical_success_rate,average_transaction_amount,amount,payment_method,transaction_hour,status,failure_reason,retry_count
TXN_0000001,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,6184.29,CARD,17,FAILED,TEMPORARY_BANK_ERROR,0
TXN_0000003,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,8668.29,UPI,12,FAILED,INSUFFICIENT_FUNDS,0
TXN_0000006,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,6469.5,CARD,19,FAILED,TECHNICAL_ERROR,0
TXN_0000008,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,8498.07,UPI,4,FAILED,INSUFFICIENT_FUNDS,0
TXN_0000011,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,288.85,CARD,16,FAILED,TECHNICAL_ERROR,0
TXN_0000028,CUST_00002,MEDIUM_RELIABILITY,0.81,6187.26,4181.96,CARD,16,FAILED,NETWORK_TIMEOUT,1
TXN_0000044,CUST_00004,HIGH_RELIABILITY,0.89,13126.47,7824.79,CARD,8,FAILED,INSUFFICIENT_FUNDS,0
TXN_0000046,CUST_00004,HIGH_RELIABILITY,0.89,13126.47,23929.53,UPI,7,FAILED,NETWORK_TIMEOUT,1
TXN_0000047,CUST_00004,HIGH_RELIABILITY,0.89,13126.47,13235.65,UPI,4,FAILED,INSUFFICIENT_FUNDS,2
TXN_0000052,CUST_00005,LOW_RELIABILITY,0.52,5014.89,3411.75,WALLET,5,FAILED,USER_ABANDONMENT,2
TXN_0000055,CUST_00005,LOW_RELIABILITY,0.52,5014.89,5260.96,WALLET,1,FAILED,INSUFFICIENT_FUNDS,0
TXN_0000056,CUST_00005,LOW_RELIABILITY,0.52,5014.89,8273.92,WALLET,9,FAILED,INSUFFICIENT_FUNDS,0
TXN_0000059,CUST_00005,LOW_RELIABILITY,0.52,5014.89,4429.53,UPI,23,FAILED,NETWORK_TIMEOUT,0
TXN_0000063,CUST_00005,LOW_RELIABILITY,0.52,5014.89,4652.86,CARD,2,FAILED,TEMPORARY_BANK_ERROR,3
TXN_0000064,CUST_00005,LOW_RELIABILITY,0.52,5014.89,11420.12,CARD,7,FAILED,NETWORK_TIMEOUT,0
TXN_0000071,CUST_00006,MEDIUM_RELIABILITY,0.65,9714.14,13285.95,UPI,19,FAILED,TECHNICAL_ERROR,0
TXN_0000072,CUST_00006,MEDIUM_RELIABILITY,0.65,9714.14,7117.96,CARD,19,FAILED,AUTHENTICATION_FAILURE,2
TXN_0000082,CUST_00008,HIGH_RELIABILITY,0.9,3567.66,5037.48,UPI,18,FAILED,NETWORK_TIMEOUT,1
TXN_0000087,CUST_00008,HIGH_RELIABILITY,0.9,3567.66,6511.02,UPI,15,FAILED,NETWORK_TIMEOUT,1
