transaction_id,customer_id,customer_segment,historical_success_rate,average_transaction_amount,amount,payment_method,transaction_hour,failure_reason,retry_count,strategy_id,strategy_name,action,delay_hours,ground_truth_probability,recovered,recovered_amount,recovery_cost,customer_friction
TXN_0000001,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,6184.29,CARD,17,TEMPORARY_BANK_ERROR,0,RETRY_30_MIN,Retry after 30 minutes,RETRY,0.5,0.7909,1,6184.29,2.62,0.15
TXN_0000001,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,6184.29,CARD,17,TEMPORARY_BANK_ERROR,0,RETRY_6_HOURS,Retry after 6 hours,RETRY,6.0,0.828,1,6184.29,2.55,0.1
TXN_0000001,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,6184.29,CARD,17,TEMPORARY_BANK_ERROR,0,PAYMENT_LINK,Send Payment Link,PAYMENT_LINK,1.0,0.6894,1,6184.29,8.28,0.45
TXN_0000001,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,6184.29,CARD,17,TEMPORARY_BANK_ERROR,0,WAIT,Wait,WAIT,12.0,0.6786,1,6184.29,0.68,0.05
TXN_0000003,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,8668.29,UPI,12,INSUFFICIENT_FUNDS,0,RETRY_30_MIN,Retry after 30 minutes,RETRY,0.5,0.6458,0,0.0,2.26,0.15
TXN_0000003,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,8668.29,UPI,12,INSUFFICIENT_FUNDS,0,RETRY_6_HOURS,Retry after 6 hours,RETRY,6.0,0.8018,1,8668.29,2.73,0.1
TXN_0000003,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,8668.29,UPI,12,INSUFFICIENT_FUNDS,0,PAYMENT_LINK,Send Payment Link,PAYMENT_LINK,1.0,0.6431,0,0.0,8.34,0.45
TXN_0000003,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,8668.29,UPI,12,INSUFFICIENT_FUNDS,0,WAIT,Wait,WAIT,12.0,0.7392,1,8668.29,0.34,0.05
TXN_0000006,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,6469.5,CARD,19,TECHNICAL_ERROR,0,RETRY_30_MIN,Retry after 30 minutes,RETRY,0.5,0.7625,1,6469.5,2.47,0.15
TXN_0000006,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,6469.5,CARD,19,TECHNICAL_ERROR,0,RETRY_6_HOURS,Retry after 6 hours,RETRY,6.0,0.6959,1,6469.5,2.4,0.1
TXN_0000006,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,6469.5,CARD,19,TECHNICAL_ERROR,0,PAYMENT_LINK,Send Payment Link,PAYMENT_LINK,1.0,0.6688,1,6469.5,8.4,0.45
TXN_0000006,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,6469.5,CARD,19,TECHNICAL_ERROR,0,WAIT,Wait,WAIT,12.0,0.6867,1,6469.5,0.43,0.05
TXN_0000008,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,8498.07,UPI,4,INSUFFICIENT_FUNDS,0,RETRY_30_MIN,Retry after 30 minutes,RETRY,0.5,0.592,1,8498.07,2.35,0.15
TXN_0000008,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,8498.07,UPI,4,INSUFFICIENT_FUNDS,0,RETRY_6_HOURS,Retry after 6 hours,RETRY,6.0,0.7941,1,8498.07,2.51,0.1
TXN_0000008,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,8498.07,UPI,4,INSUFFICIENT_FUNDS,0,PAYMENT_LINK,Send Payment Link,PAYMENT_LINK,1.0,0.6387,0,0.0,8.55,0.45
TXN_0000008,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,8498.07,UPI,4,INSUFFICIENT_FUNDS,0,WAIT,Wait,WAIT,12.0,0.7178,1,8498.07,0.34,0.05
TXN_0000011,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,288.85,CARD,16,TECHNICAL_ERROR,0,RETRY_30_MIN,Retry after 30 minutes,RETRY,0.5,0.7223,1,288.85,2.09,0.15
TXN_0000011,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,288.85,CARD,16,TECHNICAL_ERROR,0,RETRY_6_HOURS,Retry after 6 hours,RETRY,6.0,0.7744,1,288.85,1.97,0.1
TXN_0000011,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,288.85,CARD,16,TECHNICAL_ERROR,0,PAYMENT_LINK,Send Payment Link,PAYMENT_LINK,1.0,0.7216,0,0.0,7.77,0.45
TXN_0000011,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,288.85,CARD,16,TECHNICAL_ERROR,0,WAIT,Wait,WAIT,12.0,0.6086,1,288.85,0.2,0.05
TXN_0000028,CUST_00002,MEDIUM_RELIABILITY,0.81,6187.26,4181.96,CARD,16,NETWORK_TIMEOUT,1,RETRY_30_MIN,Retry after 30 minutes,RETRY,0.5,0.8231,1,4181.96,1.91,0.23
TXN_0000028,CUST_00002,MEDIUM_RELIABILITY,0.81,6187.26,4181.96,CARD,16,NETWORK_TIMEOUT,1,RETRY_6_HOURS,Retry after 6 hours,RETRY,6.0,0.6741,0,0.0,2.01,0.18
TXN_0000028,CUST_00002,MEDIUM_RELIABILITY,0.81,6187.26,4181.96,CARD,16,NETWORK_TIMEOUT,1,PAYMENT_LINK,Send Payment Link,PAYMENT_LINK,1.0,0.6106,1,4181.96,8.23,0.53
TXN_0000028,CUST_00002,MEDIUM_RELIABILITY,0.81,6187.26,4181.96,CARD,16,NETWORK_TIMEOUT,1,WAIT,Wait,WAIT,12.0,0.6413,1,4181.96,0.14,0.13
