transaction_id,customer_id,customer_segment,historical_success_rate,average_transaction_amount,amount,payment_method,transaction_hour,status,failure_reason,retry_count
TXN_0000001,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,6184.29,CARD,17,FAILED,TEMPORARY_BANK_ERROR,0
TXN_0000002,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,6379.13,UPI,11,SUCCESS,,0
TXN_0000003,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,8668.29,UPI,12,FAILED,INSUFFICIENT_FUNDS,0
TXN_0000004,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,10932.45,UPI,12,SUCCESS,,0
TXN_0000005,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,13015.03,NET_BANKING,8,SUCCESS,,0
TXN_0000006,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,6469.5,CARD,19,FAILED,TECHNICAL_ERROR,0
TXN_0000007,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,15222.99,NET_BANKING,10,SUCCESS,,0
TXN_0000008,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,8498.07,UPI,4,FAILED,INSUFFICIENT_FUNDS,0
TXN_0000009,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,9450.32,UPI,4,SUCCESS,,0
TXN_0000010,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,6682.88,NET_BANKING,16,SUCCESS,,0
TXN_0000011,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,288.85,CARD,16,FAILED,TECHNICAL_ERROR,0
TXN_0000012,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,12902.4,UPI,19,SUCCESS,,0
TXN_0000013,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,12341.17,UPI,10,SUCCESS,,0
TXN_0000014,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,8459.17,CARD,15,SUCCESS,,0
TXN_0000015,CUST_00001,MEDIUM_RELIABILITY,0.73,9531.79,9787.21,UPI,0,SUCCESS,,0
TXN_0000016,CUST_00002,MEDIUM_RELIABILITY,0.81,6187.26,7464.16,UPI,13,SUCCESS,,0
TXN_0000017,CUST_00002,MEDIUM_RELIABILITY,0.81,6187.26,2320.11,NET_BANKING,23,SUCCESS,,0
